headlines,body
यातायात व्यवसायीसँग वार्ता गर्न सरकारद्वारा १० सदस्य कमिटी गठन,गृहमन्त्री रमेश लेखकको अध्यक्षतामा यातायात व्यवसायीहरूको बैठक बसेको छ । बिहान साढे ८ बजे बसेको बैठकले यातायात व्यवसायीहरूको समस्या समाधान गर्नका लागि पूर्वाधार निर्माण तथा यातायात महाशाखाका सह–सचिव इन्जिनियर कृष्णराज पन्थको नेतृत्वमा १० सदस्य वार्ता समिति समेत गठन गरेको छ । 
आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी,भोलि हुने भनिए पनि यातायात व्यवसायी र सरकारबीच आजै तेस्रो चरणको वार्ता सुरु भएको छ । गृहमन्त्री रमेश लेखकको निर्देशनपछि आजै दुई पक्षबीच तेस्रो चरणको वार्ता सुरु भएको हो । 
खानेपानी आयोजना निर्माणमा ढिलासुस्ती किमार्थ स्वीकार्य छैन : मन्त्री यादव,"खानेपानीमन्त्री प्रदीप यादवले नागरिकलाई स्वच्छ, सुरक्षित एवं शुद्ध खानेपानी वितरणका लागि निर्माणाधीन खानेपानी आयोजना निर्माणमा ढिलासुस्ती गर्ने ठेकेदारलाई उन्मुक्ति नदिने बताएका छन् ।  "
भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा,राष्ट्रिय स्वतन्त्र पार्टीले भिजिट भिसा प्रकरणलाई निष्पक्ष छानबिन हुन दिनका लागि गृहमन्त्री रमेश लेखकले राजीनामा गर्नुपर्ने निष्कर्ष निकालेको छ । 
प्रमुख तीन दलको बैठक: संसद्को गतिरोध अन्त्यका लागि प्रधानमन्त्रीको आग्रह,प्रधानमन्त्री एवं एमाले अध्यक्ष केपी शर्मा ओलीले प्रतिनिधिसभाको गतिरोध अन्त्य गर्ने वातावरण बनाउन आग्रह गरेका छन् । 
आज देश दुनियाँमा के-के भयो ?,सोमबार कान्तिपुरमा सुदूरपश्चिमका पूर्वमुख्यमन्त्री सोडारीविरुद्ध भ्रष्टाचार मुद्दा दायरदेखि सत्तारुढ एमालेको ‘म झोले हो’ डिजिटल अभियान सुरुसम्मका समाचार छापिएका छन् ।  
सरकार र यातायात व्यवसायीबीच भोलि फेरि वार्ता हुने,सार्वजनिक यातायात नै ठप्प पारेर आन्दोलनमा उत्रिएको नेपाल यातायात व्यवसायी राष्ट्रिय महासंघ र सरकारबीचको आजको वार्ता निष्कर्षविहीन भएको छ । ६ बुँदामा सहमति नजिक पुगे पनि मुख्य मागमा भने सहमति जुट्न सकेन । 
सरकार र यातायात व्यवसायीको वार्ता : मुख्य मागमै सहमति जुट्न सकस,सार्वजनिक यातायात नै ठप्प पारेर आन्दोलनमा उत्रिएका नेपाल यातायात व्यवसायी राष्ट्रिय महासंघ र र सरकारबिचको वार्ता जारी छ । वार्तामा ६ बुँदामा सहमतिनजिक पुगे पनि मुख्य मागमा भने सहमति जुटेको छैन । 
राइड सेयरिङमार्फत बढी भाडा लिने ९० जना कारबाहीमा,विभिन्न राइड सेयरिङ एपमार्फत गाडी नचलेको मौका छोपेर यात्रुहरुबाट बढी भाडा असुल गर्ने ९० जनालाई प्रहरीले कारबाही गरेको छ।  अफलाइन बसेर बार्गेनिङ गर्ने र देखाएको भन्दा बढी शुल्क असुल गर्ने ९० जनालाई कारबाही गरिएको नेपाल प्रहरीका प्रवक्ता प्रहरी वरिष्ठ उपरीक्षक रमेश थापाले जानकारी दिए ।  
लुम्बिनी मन्त्रिपरिषद् बैठक : निजामती सेवा नियमावली परामर्शका लागि लोक सेवा आयोगमा पठाउने ,लुम्बिनी प्रदेश सरकारको सोमबार बसेको मन्त्रिपरिषद्को बैठकलेप्रदेश निजामती सेवा (पहिलो संशोधन) नियमावली २०८२ प्रदेश लोकसेवा आयोगमा परामर्शका लागि पठाउने निर्णय गरेको छ । 
